episode,episode_return,success,collisions,steps
195,100.0,1,1,1
196,100.0,1,1,1
197,100.0,1,1,1
198,100.0,1,1,1
199,100.0,1,1,1
200,100.0,1,1,1
201,100.0,1,1,1
202,100.0,1,1,1
203,100.0,1,1,1
204,100.0,1,1,1
205,100.0,1,1,1
206,100.0,1,1,1
207,100.0,1,1,1
208,100.0,1,1,1
209,100.0,1,1,1
210,100.0,1,1,1
211,100.0,1,1,1
212,100.0,1,1,1
213,100.0,1,1,1
214,100.0,1,1,1
215,100.0,1,1,1
216,100.0,1,1,1
217,100.0,1,1,1
218,100.0,1,1,1
219,100.0,1,1,1
220,100.0,1,1,1
221,100.0,1,1,1
222,100.0,1,1,1
223,100.0,1,1,1
224,100.0,1,1,1
225,100.0,1,1,1
226,100.0,1,1,1
227,100.0,1,1,1
228,100.0,1,1,1
229,100.0,1,1,1
230,100.0,1,1,1
231,100.0,1,1,1
232,100.0,1,1,1
233,100.0,1,1,1
234,100.0,1,1,1
235,100.0,1,1,1
236,100.0,1,1,1
237,100.0,1,1,1
238,100.0,1,1,1
239,100.0,1,1,1
240,100.0,1,1,1
241,100.0,1,1,1
242,100.0,1,1,1
243,100.0,1,1,1
244,100.0,1,1,1
245,100.0,1,1,1
246,100.0,1,1,1
247,100.0,1,1,1
248,100.0,1,1,1
249,100.0,1,1,1
250,100.0,1,1,1
251,100.0,1,1,1
252,100.0,1,1,1
253,100.0,1,1,1
254,100.0,1,1,1
255,100.0,1,1,1
256,100.0,1,1,1
257,100.0,1,1,1
258,100.0,1,1,1
259,100.0,1,1,1
260,100.0,1,1,1
261,100.0,1,1,1
262,100.0,1,1,1
263,100.0,1,1,1
264,100.0,1,1,1
265,100.0,1,1,1
266,100.0,1,1,1
267,100.0,1,1,1
268,100.0,1,1,1
269,100.0,1,1,1
270,100.0,1,1,1
271,100.0,1,1,1
272,100.0,1,1,1
273,-50.0,0,1,1
274,-50.0,0,1,1
275,-50.0,0,1,1
276,-50.0,0,1,1
277,-50.0,0,1,1
278,-50.0,0,1,1
279,-50.0,0,1,1
280,-50.0,0,1,1
281,-50.0,0,1,1
282,-50.0,0,1,1
283,-50.0,0,1,1
284,-50.0,0,1,1
285,-50.0,0,1,1
286,-50.0,0,1,1
287,-50.0,0,1,1
288,-50.0,0,1,1
289,-50.0,0,1,1
290,-50.0,0,1,1
291,-50.0,0,1,1
292,-50.0,0,1,1
293,-50.0,0,1,1
294,-50.0,0,1,1
295,-50.0,0,1,1
296,-50.0,0,1,1
297,-50.0,0,1,1
298,-50.0,0,1,1
299,-50.0,0,1,1
300,-50.0,0,1,1
301,-50.0,0,1,1
302,-50.0,0,1,1
303,-50.0,0,1,1
304,-50.0,0,1,1
305,-50.0,0,1,1
306,-50.0,0,1,1
307,-50.0,0,1,1
308,-50.0,0,1,1
309,-50.0,0,1,1
310,-50.0,0,1,1
311,-50.0,0,1,1
312,-50.0,0,1,1
313,-50.0,0,1,1
314,-50.0,0,1,1
315,-50.0,0,1,1
316,-50.0,0,1,1
317,-50.0,0,1,1
318,-50.0,0,1,1
319,-50.0,0,1,1
320,-50.0,0,1,1
321,-50.0,0,1,1
322,-50.0,0,1,1
323,-50.0,0,1,1
324,-50.0,0,1,1
325,-50.0,0,1,1
326,-50.0,0,1,1
327,-50.0,0,1,1
328,-50.0,0,1,1
329,-50.0,0,1,1
330,-50.0,0,1,1
0,-58.06047472515652,0,1,866
1,-50.0,0,1,1
2,-50.0,0,1,1
3,-50.0,0,1,1
4,-50.0,0,1,1
5,-50.0,0,1,1
6,-50.0,0,1,1
7,-50.0,0,1,1
8,-50.0,0,1,1
9,-50.0,0,1,1
10,-50.0,0,1,1
11,-50.0,0,1,1
12,-50.0,0,1,1
13,-50.0,0,1,1
14,-50.0,0,1,1
15,-50.0,0,1,1
16,-50.0,0,1,1
17,-50.0,0,1,1
18,-50.0,0,1,1
19,-50.0,0,1,1
20,-50.0,0,1,1
21,-50.0,0,1,1
22,-50.0,0,1,1
23,-50.0,0,1,1
24,-50.0,0,1,1
25,-50.0,0,1,1
26,-50.0,0,1,1
27,-50.0,0,1,1
28,-50.0,0,1,1
29,-50.0,0,1,1
30,-50.0,0,1,1
31,-50.0,0,1,1
32,-50.0,0,1,1
33,-50.0,0,1,1
34,-50.0,0,1,1
35,-50.0,0,1,1
36,-50.0,0,1,1
37,-50.0,0,1,1
38,-50.0,0,1,1
39,-50.0,0,1,1
40,-50.0,0,1,1
41,-50.0,0,1,1
42,-50.0,0,1,1
43,-50.0,0,1,1
44,-50.0,0,1,1
45,-50.0,0,1,1
46,-50.0,0,1,1
47,-50.0,0,1,1
48,-50.0,0,1,1
49,-50.0,0,1,1
50,-50.0,0,1,1
51,-50.0,0,1,1
52,-50.0,0,1,1
53,-50.0,0,1,1
54,-50.0,0,1,1
55,-50.0,0,1,1
56,-50.0,0,1,1
57,-50.0,0,1,1
58,-50.0,0,1,1
59,-50.0,0,1,1
60,-50.0,0,1,1
61,-50.0,0,1,1
62,-50.0,0,1,1
63,-50.0,0,1,1
64,-50.0,0,1,1
65,-50.0,0,1,1
66,-50.0,0,1,1
67,-50.0,0,1,1
68,-50.0,0,1,1
69,-50.0,0,1,1
70,-50.0,0,1,1
71,-50.0,0,1,1
72,-50.0,0,1,1
73,-50.0,0,1,1
74,-50.0,0,1,1
75,-50.0,0,1,1
76,-50.0,0,1,1
77,-50.0,0,1,1
78,-50.0,0,1,1
79,-50.0,0,1,1
80,-50.0,0,1,1
81,-50.0,0,1,1
82,-50.0,0,1,1
83,-50.0,0,1,1
84,-50.0,0,1,1
85,-50.0,0,1,1
86,-50.0,0,1,1
87,-50.0,0,1,1
88,-50.0,0,1,1
89,-50.0,0,1,1
90,-50.0,0,1,1
